taxon	lfc_(Intercept)	lfc_conditionactive_smoker	lfc_conditionex_smoker	lfc_conditionpassive_smoker	se_(Intercept)	se_conditionactive_smoker	se_conditionex_smoker	se_conditionpassive_smoker	W_(Intercept)	W_conditionactive_smoker	W_conditionex_smoker	W_conditionpassive_smoker	p_(Intercept)	p_conditionactive_smoker	p_conditionex_smoker	p_conditionpassive_smoker	q_(Intercept)	q_conditionactive_smoker	q_conditionex_smoker	q_conditionpassive_smoker	diff_(Intercept)	diff_conditionactive_smoker	diff_conditionex_smoker	diff_conditionpassive_smoker
Bifidobacterium adolescentis	-0.0792401610590759	0.281617833765531	0.849514245804051	-0.686662383278367	0.284020448437042	0.595355869994167	0.67610390158526	0.763282020362257	-0.278994563578547	0.47302436737256	1.25648475598528	-0.89961818169446	0.780248996824647	0.636195794601596	0.208940269410048	0.368323478043238	0.997233545206974	0.958858670897386	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bifidobacterium pseudocatenulatum	0.259206718775652	-1.34342706448264	0.309890057202461	-0.504001514415393	0.242507029536798	0.508336580496546	0.57728219828519	0.651718059299971	1.06886270171529	-2.64279045818495	0.536808614786644	-0.773342870008475	0.285131540764928	0.00822259050895313	0.591399820375921	0.439319490834244	0.997233545206974	0.41935211595661	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Rothia sp001808955	-0.0259547733672649	0.0361586183434191	0.0647884345210325	0.256071287907938	0.0751186533734203	0.157461659813682	0.178818162238267	0.201875315067204	-0.345517021427978	0.229634429017223	0.362314620115069	1.2684626043689	0.729705716051189	0.818375851206009	0.717116934048324	0.204632797033654	0.997233545206974	0.971369081585372	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
CAG-1427 sp000435675	-0.0997300810249863	0.258950260562319	0.360530207775697	0.219741053500064	0.109310478177266	0.229133624683824	0.260210985464246	0.293763083218294	-0.912356095115207	1.13012771879133	1.38553031161413	0.748021334378411	0.361581293804558	0.258422411355453	0.165890370568252	0.454447289222941	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Eggerthella lenta	-0.0229716929518926	-0.0903579539720799	0.328722766109855	0.105115004052665	0.0623849364549884	0.130769591844805	0.148505852904165	0.167654479103781	-0.368224995603978	-0.690970681313398	2.21353407748845	0.626974027861175	0.71270547390169	0.489583965953663	0.0268608465211008	0.530676260052909	0.997233545206974	0.945993607281169	0.661619484544201	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Peptococcus niger	-0.098355126587608	0.614783355082772	0.245917603000526	-0.294087062297746	0.10707143442736	0.224440202618561	0.254880995234803	0.287745833944474	-0.918593526962924	2.7391855287513	0.96483303030883	-1.02203760265212	0.358308218985044	0.00615916057330146	0.334628449034262	0.306763103549969	0.997233545206974	0.41935211595661	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Acidaminococcus intestini	-0.0478304853878281	0.183147012036022	0.0777695284042951	0.196548782507444	0.147617829275499	0.309432442834997	0.351400720849278	0.396710995954469	-0.32401563972711	0.591880445237232	0.221312944994361	0.495445764074566	0.745926193653437	0.55393064921175	0.824848771229202	0.62028549734403	0.997233545206974	0.949707967576719	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phascolarctobacterium_A faecium	0.316198158291277	-0.875253805511937	-1.37682736582984	0.294559675435734	0.236229924118556	0.495178684373617	0.562339698590926	0.63484884536827	1.33851864648861	-1.7675514579532	-2.448390837922	0.46398395080149	0.180727426066922	0.0771359192209563	0.0143495904941837	0.64265924420831	0.997233545206974	0.630555319438495	0.661619484544201	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phascolarctobacterium_A succinatutens	-0.463053897645778	1.61690129044269	1.55262551473668	-0.0847654823348031	0.206336887105902	0.43251772050509	0.491180037145043	0.554513722276455	-2.24416440579583	3.73834692496411	3.16101102919661	-0.152864535050303	0.0248218252734551	0.000185234221966803	0.00157222545168452	0.878505104078365	0.997233545206974	0.0236173633007673	0.400917490179552	0.993464214136497	FALSE	TRUE	FALSE	FALSE
Veillonella_A rogosae	0.0165086356494676	-0.0322063422406713	-0.0186287997599718	0.0514823899018327	0.0722356955364422	0.151418482709231	0.171955349886505	0.194127598680806	0.228538474321731	-0.212697562836613	-0.108335098455891	0.265198715956316	0.819227649222766	0.831562867845689	0.913729881904257	0.790856384019174	0.997233545206974	0.971369081585372	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
